246147,St. Peter Awesome Family Apartment,68
338741,Penthouse + Eagle Eye Attic Combo,76
170398,Mazzini Square Central Renewed Apartment,61
246118,Trastevere Lovely Terrace Apartment,71
246109,Via Giulia Charming & Cozy Apartment,62
246145,Monti Amazing Family Apartment,70
362220,St. Peter View,61
362232,Vatican One Bedroom - Monte del gallo,60
362245,St. Paul Basilica,76
362252,St. Peter Suite,74
246144,Monti Beautiful Petit Clementine - 1 Bedroom Apartment in Colosseo,91
362239,Vatican Domus Romae,72
264695,Amazing 1 Bedroom Apartment in Vaticano with Aircon - Vatican Luxury Loft,62
362253,Vatican Museum,84
442639,Caracalla Area - Top Location - Stay All In,64
442652,Testaccio Area - Great Location - Stay All In,66
452388,Campo de' Fiori Gray,279
362233,Domus Costanza,71
362237,Vatican Dome,76
368696,Zen Room Piazza Re di Roma B&B,60
368697,Blue Room Piazza Re di Roma B&B,73
246143,Beautiful Studio Castel Sant'Angelo,70
246117,Cozy Elegant And Well Connected,60
246103,Trastevere Fantastic Terrace - 2 Bedroom Apartment,74
162383,Vatican Panoramic 2 Bedroom,75
362227,Vatican Suite,63
362231,Vatican Hill,73
144751,Charming 1 Bedroom Apartment in Campo dei Fiori - Eligio Campo dei Fiori Rome,74
246100,Colosseo Lovely Terrace 1 Bedroom Apartment,72
246150,Compact 1 Bedroom Apartment in Colosseo with Aircon,65
162304,Ginnasi Terrace - 1 Bedroom Apartment in Campo Marzio,66
386685,Lovely Apartment St Peter's,69
362240,Porta Pia,70
362247,All You Need is Rome,60
264662,Piazza Navona Luxury Terrace Apartment,60
162486,Elegant Suite Farnese,60
368698,White Sand Suite Piazza Re di Roma B&B,76
386684,Vatican City Apartment,67
257699,Vintage Apartment Trastevere Station,65
246149,Cozy 1 Bedroom Apartment in Trastevere  with Aircon,73
167148,Agreeable Studio Apartment in Trastevere  with Aircon and Parking,74
144752,Intimate 1 Bedroom Apartment in Vaticano - Silveri Vatican Rome Studio,76
406110,Caracalla one bedroom,75
362226,Gianicolense 2 Bedroom,72
246146,John Cabot Uni Lovely Apartment,65
162370,Sant'eligio Campo di Fiori - 1 Bedroom Apartment in Rome,70
362249,Piazza Vittorio 3 Bedroom,60
362223,Gianicolense 3 Bedroom,68
170397,Trastevere Pure Jewel New Apartment,68
365266,Trastevere Market Balcony Boutique Domus,62
362236,St. Paul Basilica for Groups,63
265333,Good-sized 1 Bedroom Apartment in Trastevere  with Aircon and Parking,65
265340,Well-spaced 1 Bedroom Apartment in Trastevere  with Aircon and Parking,67
162007,Welcoming 1 Bedroom Apartment in Piazza Di Spagna with Aircon,64
264702,Elegant Apartment Fontanella Borghese,62
